SHADOW (Dual-processor AMD Opteron 2.0GHz, 8GB Memory, Fedora Core 6)

Linux shadow 2.6.20-1.2952.fc6 #1 SMP Wed May 16 18:18:22 EDT 2007 x86_64 x86_64 x86_64 GNU/Linux

gcc (GCC) 4.1.1 20070105 (Red Hat 4.1.1-51)

MLton0 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen native -align 4 (* 32-bit *)
MLton1 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen native -align 8 (* 32-bit *)
MLton2 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen c -align 4 (* 32-bit *)
MLton3 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen c -align 8 (* 32-bit *)
MLton4 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen amd64 -align 4 (* 64-bit *)
MLton5 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen amd64 -align 8 (* 64-bit *)
MLton6 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen c -align 4 (* 64-bit *)
MLton7 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen c -align 8 (* 64-bit *)
run time ratio
benchmark         MLton0 MLton1 MLton2 MLton3 MLton4 MLton5 MLton6 MLton7
output1              96,343    97,175    98,179    99,779   133,016   133,560   137,912   139,192
peek                 91,793    92,657    93,853    95,293   125,140   125,588   133,084   134,156
psdes-random         58,525    58,621    66,681    66,873    94,601    94,633   101,209   101,289
ratio-regions        83,853    84,109    95,177    95,593   126,857   126,729   137,505   137,377
ray                 198,014   200,126   211,760   214,992   260,054   260,934   268,021   267,813
raytrace            278,011   282,587   319,461   325,349   378,506   379,882   394,166   394,694
simple              236,729   240,473   272,727   278,999   330,145   330,993   356,460   358,268
smith-normal-form   192,213   206,453   219,277   251,533   264,916   276,356   281,812   317,540
tailfib              57,565    57,629    65,753    65,849    93,369    93,369   100,233   100,233
tak                  57,965    57,997    65,929    66,057    93,801    93,769   100,633   100,633
tensor              113,236   114,228   119,792   121,712   153,819   154,459   165,443   166,779
tsp                  97,613    98,349    99,307   100,683   138,019   138,547   137,074   138,178
tyan                149,417   151,561   163,541   168,213   203,124   203,972   217,484   219,308
vector-concat        59,125    59,221    67,633    67,761    95,337    95,337   101,993   102,009
vector-rev           58,369    58,465    66,717    66,813    94,649    94,649   101,465   101,465
vliw                406,561   412,481   493,425   505,297   524,814   526,174   625,246   625,102
wc-input1           117,457   118,513   119,837   121,597   162,194   162,898   168,810   173,786
wc-scanStream       124,593   125,681   128,957   130,941   171,426   172,114   180,714   179,898
zebra               156,149   157,429   158,701   161,165   210,356   211,124   209,588   212,852
zern                104,070   104,358   112,458   112,874   134,458   134,458   133,415   133,463
compile time
benchmark         MLton0 MLton1 MLton2 MLton3 MLton4 MLton5 MLton6 MLton7
barnes-hut          4.40   4.60   8.01   7.47  10.25   9.65  13.22  13.39
boyer               4.42   4.45  20.37  19.73  10.78  10.68  25.89  23.69
checksum            3.19   3.25   3.72   3.81   7.41   7.33   7.67   7.74
count-graphs        3.96   3.86   5.31   5.26   8.13   8.08   9.53   9.17
DLXSimulator        4.79   4.68  10.63  10.30  10.83  11.20  14.71  15.26
fft                 3.29   3.22   4.26   4.50   7.96   8.10   8.80   8.89
fib                 3.07   3.72   3.33   4.04   8.12   8.10   8.45   8.29
flat-array          3.31   3.58   4.21   3.61   7.35   7.84   7.72   8.23
hamlet             46.34  47.68 133.15 136.87  52.05  52.54 125.08 129.56
imp-for             3.62   3.13   3.50   3.39   7.79   7.14   7.46   7.60
knuth-bendix        3.84   3.87   8.11   9.07   9.06   9.12  13.73  12.38
lexgen              5.88   5.39  13.41  14.76  12.40  12.97  20.01  20.45
life                3.90   3.77   4.74   5.25   8.28   7.74   9.03   9.90
logic               4.10   4.03   8.37   8.24   9.63   9.86  12.32  12.48
mandelbrot          3.68   3.71   3.57   3.19   7.76   7.29   8.50   7.93
matrix-multiply     3.59   3.03   3.49   3.87   7.30   8.24   8.45   7.80
md5                 3.64   3.71   5.20   5.30   8.50   8.99   9.56   9.96
merge               3.11   2.99   3.29   3.86   7.17   7.35   8.14   7.72
mlyacc             13.02  12.13  39.42  38.34  27.17  27.51  45.66  44.65
model-elimination  13.31  14.06  50.06  54.54  27.20  26.60  57.92  61.22
mpuz                3.65   3.40   4.14   4.55   8.01   8.19   7.94   8.80
nucleic             6.22   6.96  16.82  19.56  10.68  10.94  21.58  24.39
output1             3.77   3.36   4.90   6.29   8.47   8.10   9.59  10.37
peek                4.19   4.14   5.34   5.62   8.64   8.65  10.48  10.73
psdes-random        3.73   2.96   3.60   3.82   7.40   7.37   8.00   7.87
ratio-regions       4.08   3.68   5.46   5.53   8.74   9.63  10.88  11.32
ray                 5.55   5.58  11.84  12.97  12.49  12.30  17.54  18.95
raytrace            7.57   7.32  20.99  20.90  15.07  16.44  27.17  26.83
simple              5.63   6.30  14.93  15.30  13.35  13.34  21.15  20.56
smith-normal-form   5.15   5.17  62.38  61.63  11.06  11.50  58.08  82.66
tailfib             3.69   3.72   4.09   3.54   8.02   8.17   8.29   8.45
tak                 3.22   3.48   3.83   3.72   7.48   8.38   8.73   8.63
tensor              4.89   4.40   6.98   8.75  10.54  10.61  13.92  12.95
tsp                 4.37   3.98   6.34   6.01   8.97   8.98  10.73  10.72
tyan                5.15   5.78  11.26  11.22  10.98  11.15  16.59  15.86
vector-concat       3.11   3.85   4.05   3.44   7.51   8.03   8.56   7.74
vector-rev          2.97   3.15   3.23   4.03   7.71   8.00   8.15   8.12
vliw                9.98   9.90  31.02  30.40  19.01  19.31  35.75  37.56
wc-input1           4.15   4.62   7.16   7.82   9.12   9.13  12.77  12.97
wc-scanStream       4.43   4.57   8.00   7.57   9.55  10.16  12.86  14.06
zebra               5.47   5.00  11.71  11.07  11.91  11.66  16.41  14.77
zern                3.83   3.65   4.41   5.16   8.76   8.67  10.22   9.51
run time
benchmark         MLton0 MLton1 MLton2 MLton3 MLton4 MLton5 MLton6 MLton7
barnes-hut         17.54  16.35  18.71  16.49  16.87  15.15  17.05  16.00
boyer              17.25  18.68  24.42  20.29  23.77  23.62  25.93  25.02
checksum           43.40  43.83  32.50  34.75  26.35  26.34 137.75 138.01
count-graphs       21.82  21.58  21.95  22.41  47.73  36.99  52.84  40.31
DLXSimulator       17.07  21.18  20.64  22.65  28.89  34.04  30.15  33.97
fft                15.77  13.10  15.43  13.88  16.44  14.85  17.71  14.30
fib                34.85  34.80  49.21  48.15  41.32  37.84  50.78  48.21
flat-array         11.33  10.82   0.03   0.03  10.00  11.59   0.02   0.02
hamlet             16.45  19.55  38.91  46.33  28.46  24.51  55.52  54.39
imp-for            29.29  28.82  24.45  24.55  26.25  26.17  24.15  24.08
knuth-bendix       17.76  18.45  37.84  38.01  27.86  18.75  41.69  33.04
lexgen             20.21  20.49  37.83  29.26  29.80  22.18  31.73  24.40
life                8.39   8.97   9.36   9.68  14.06   9.35  14.13   8.83
logic              18.42  19.43  25.92  27.09  26.41  23.51  33.73  30.83
mandelbrot         23.96  24.34  27.93  28.02  20.66  20.83  22.37  22.28
matrix-multiply     3.63   2.89   6.01   5.13   3.33   3.42   2.80   2.68
md5                32.51  32.75  41.32  41.06  62.40  43.24  90.08  72.38
merge              14.18  16.86  16.61  18.68  23.73  28.05  25.46  25.46
mlyacc             17.39  20.71  22.73  24.99  28.79  26.03  32.53  30.79
model-elimination  28.16  29.74  43.28  43.35  40.62  34.44  51.10  46.49
mpuz               21.83  21.98  27.67  28.14  36.42  28.07  61.37  53.72
nucleic            16.55  14.95  17.68  15.49  19.17  15.62  19.02  15.74
output1             7.18   7.21  13.04  12.10   7.67   7.69   9.87  11.26
peek               20.25  19.93  20.25  20.10  34.81  35.10  25.18  14.97
psdes-random       16.44  16.43  18.03  17.40  17.77  15.76  14.30  12.64
ratio-regions      24.81  24.94  29.36  29.40  29.91  26.23  35.86  31.80
ray                15.91  15.06  18.23  17.99  17.21  15.51  18.60  15.31
raytrace           16.37  15.98  25.47  24.27  19.22  16.61  22.69  19.44
simple             20.42  19.55  33.27  31.99  28.27  19.61  43.11  35.61
smith-normal-form  10.32  10.29  10.38  10.28   8.48   8.52   8.40   8.54
tailfib            19.70  19.56  50.80  45.53  26.28  26.32  32.94  32.72
tak                12.92  13.09  16.69  15.94  16.54  15.01  18.72  16.16
tensor             17.30  17.40  36.88  35.90  25.23  25.53  39.57  38.65
tsp                20.68  20.75  22.51  21.96  22.66  22.56  22.79  21.95
tyan               18.44  20.07  21.99  24.56  29.34  25.27  34.76  30.70
vector-concat      31.23  30.62  63.44  64.93  24.25  24.49  26.70  24.70
vector-rev         18.84  21.01  43.21  43.22  26.16  21.64  31.71  30.42
vliw               20.10  20.45  31.12  33.50  41.07  30.04  52.89  41.38
wc-input1          27.51  27.22  27.84  28.48  34.39  27.47  33.88  27.58
wc-scanStream      14.62  14.78  17.97  18.02  15.05  14.21  17.93  17.40
zebra              26.27  27.37  20.41  21.28  41.07  26.86  30.14  20.70
zern               17.83  16.17  23.42  21.97  21.60  19.58  36.06  33.49
